,0
2018-04-19,0.006419238395098059
2018-04-20,-0.010828429180061439
2018-04-23,-0.00393834283475103
2018-04-24,0.00930729859272117
2018-04-25,-0.0024457314456094448
2018-04-26,-0.008734155401415089
2018-04-27,0.0024157066433139196
2018-05-02,-0.001183221014739111
2018-05-03,0.00565187528439326
2018-05-04,-0.0006265552618202053
2018-05-07,0.010305848007939877
2018-05-08,0.0029287648835742974
2018-05-09,-0.0013567667041931575
2018-05-10,0.002606856605000596
2018-05-11,-0.0022594942795960415
2018-05-14,-0.0015288240441128087
2018-05-15,0.0061871377852980025
2018-05-16,-0.0008547736003693407
2018-05-17,-0.004394344980805487
2018-05-18,0.009180787891392983
2018-05-21,0.004927584198018753
2018-05-22,-7.963678502642679e-05
2018-05-23,-0.009230699704112943
2018-05-24,-0.0031988341851765245
2018-05-25,-0.0004579919596959803
2018-05-28,0.0005398403290437503
2018-05-29,-0.006142688552391862
2018-05-30,-0.020024276970879717
2018-05-31,0.008573015329623068
2018-06-01,-0.00769267659207673
2018-06-04,0.000266328396266724
2018-06-05,0.005089696465311766
2018-06-06,0.0029309063734950236
2018-06-07,-0.002464361982054908
2018-06-08,-0.011509953471648515
2018-06-11,-0.004792368492447241
2018-06-12,0.00823215611528072
2018-06-13,-0.008949488832841634
2018-06-14,-5.203877087023301e-06
2018-06-15,-0.004992415163498576
2018-06-19,-0.03235322272616503
2018-06-20,-0.0041828911746871755
2018-06-21,-0.007050491095623612
2018-06-22,0.003775001902394548
2018-06-25,-0.005519905802744751
2018-06-26,-0.004771136259140163
2018-06-27,-0.0075214761989721435
2018-06-28,-0.00889059948868065
2018-06-29,0.01652040167132851
2018-07-02,-0.016398998904433637
2018-07-03,0.005029342440441287
2018-07-04,-0.006501887229072967
2018-07-05,-0.01267824024426445
2018-07-06,0.00235033884869984
2018-07-09,0.013282543787567658
2018-07-10,0.004089930252721308
2018-07-11,-0.015406529625120569
2018-07-12,0.012951533128097825
2018-07-13,0.0044683260010509596
2018-07-16,-0.0014839604581766697
2018-07-17,-0.00378404156114287
2018-07-18,-0.0003184638048887578
2018-07-19,-0.0037207367593484753
2018-07-20,0.010100502971560399
2018-07-23,0.014017464424844972
2018-07-24,0.012164257950314283
2018-07-25,0.0027309645934650018
2018-07-26,-0.0006578397212545495
2018-07-27,-0.00676257624770471
2018-07-30,-0.0010948028579524927
2018-07-31,-0.0021509963369807927
2018-08-01,-0.011557917289102382
2018-08-02,-0.013118247268421479
2018-08-03,-0.008733954023268709
2018-08-06,-0.009511146683611638
2018-08-07,0.0215543342180331
2018-08-08,-0.004919192123432836
2018-08-09,0.011132947780513103
2018-08-10,-0.0005007852728687867
2018-08-13,-0.00117313056670576
